task,source,size,gold_f1_mean,gold_f1_std,bench_f1_mean,bench_f1_std,heldout_f1_mean,gold_acc_mean,n_collapsed,n_folds,total_train_min,gold_mcc_mean,gold_mcc_std,bench_mcc_mean,bench_mcc_std
hate,twitter,1000,0.38278870914391,0.039096762970034005,0.5682809706265785,0.027133478312055204,0.5923949538556988,0.4559282371294852,0,6,1.55,,,,
hate,twitter,4000,0.5460513199549163,0.013955770679952831,0.7184922115750986,0.0035538449199273357,0.743285535369688,0.5569856127578436,0,6,5.43,,,,
hate,abl_c0_l0_b0,16000,0.5668626749277651,0.01148271528849924,0.7133121877617089,0.0032859329039575513,0.7795480658842476,0.5850234009360374,0,6,20.09,0.3902543313510946,0.009761203336504367,0.6560736480407109,0.006528764361004205
hate,abl_c1_l0_b0,16000,0.560705531651358,0.014821750528398951,0.7081297409040571,0.008844807951167143,0.8217388766342925,0.5792165019934131,0,6,20.259999999999998,0.38633132177586016,0.015963504987139984,0.6427778439020527,0.015048207181130098
hate,abl_c0_l0_b1,16000,0.5095115368634447,0.011471440328810829,0.6768826354141458,0.0038529618264038423,0.8334869275000972,0.5422083550008667,0,6,20.14,0.36597642616982,0.011385074209225183,0.5804773991976905,0.005804004614130704
hate,abl_c0_l1_b0,16000,0.5668626749277651,0.01148271528849924,0.7133121877617089,0.0032859329039575513,0.7795480658842476,0.5850234009360374,0,6,20.259999999999998,0.3902543313510946,0.009761203336504367,0.6560736480407109,0.006528764361004205
hate,abl_c1_l1_b1,16000,0.48336673401231156,0.015616109525483512,0.6664752453112285,0.00749003649118305,0.8702104827050999,0.5185040734962731,0,6,20.27,0.34365834035058573,0.014034661814248577,0.5672565649648481,0.011339161167321312
hate,abl_c1_l0_b1,16000,0.4842277618714956,0.008055556162664922,0.669708400414216,0.006959850932632642,0.8717893862012605,0.5181573929623852,0,6,21.94,0.3427998621156488,0.007438665705822773,0.5728613160522251,0.010383777050513158
hate,abl_c0_l1_b1,16000,0.5193421176489902,0.010447684103856374,0.6747197480263506,0.008112043325092454,0.834068424856692,0.5500086670133472,0,6,19.96,0.375042395228659,0.008780350451447143,0.5830034507183443,0.01342474414386038
hate,abl_c1_l1_b0,16000,0.560705531651358,0.014821750528398951,0.7081297409040571,0.008844807951167143,0.8217388766342925,0.5792165019934131,0,6,21.79,0.38633132177586016,0.015963504987139984,0.6427778439020527,0.015048207181130098
hate,twitter,16000,0.5761591209093674,0.010857416115446852,0.7145730109636044,0.0036321693812674544,0.7839263298598919,0.593647079216502,0,6,21.259999999999998,,,,
hate,twitter,64000,0.6021751077354728,0.010349465250113488,0.7029011814086119,0.005660431887317801,0.8085895971692417,0.6223782284624718,0,6,84.01,,,,
hate,twitter,128000,0.6124426814340101,0.004398311955373923,0.6976766315793145,0.003782111933223215,0.8187671670417652,0.6316952678107124,0,6,167.87,,,,
lexical_bias,mixed,1000,0.7785046389885392,0.007861250815227813,0.5119743082131011,0.025090531868017848,0.8616811567978225,0.7791383219954647,0,6,1.48,0.560153380067344,0.018002549840138472,0.12629123381884053,0.022324562429752583
lexical_bias,twitter,1000,0.7474536921488348,0.021442911815910837,0.5060304531256141,0.01799971664998362,0.9330537819864543,0.7541950113378685,0,6,1.52,,,,
lexical_bias,news,1000,0.7765395485703338,0.010339376052767043,0.4990022540892631,0.02922638868204693,0.7952415941242248,0.7766439909297053,0,6,1.53,,,,
lexical_bias,mixed,4000,0.7931880586987209,0.003493127775754031,0.5557746989422009,0.003138244941692893,0.8803254909895809,0.7943310657596371,0,6,5.28,0.5920806517181608,0.007259996488497095,0.1495777787075291,0.0065011613122041845
lexical_bias,news,4000,0.791149758849148,0.009477070903797593,0.5565013155033823,0.008854523541207164,0.8205879770341967,0.7916099773242631,0,6,5.5600000000000005,,,,
lexical_bias,twitter,4000,0.7668200816973632,0.01318649871243034,0.5387516403406387,0.006175294995502628,0.9264971667684362,0.7702947845804989,0,6,5.5,,,,
lexical_bias,abl_c1_l1_b1,16000,0.7622182750253595,0.008012082791281721,0.523699246587528,0.007858789813325138,0.9463051654695849,0.7625850340136054,0,6,20.43,0.5287081998664376,0.014281915087498601,0.13238662967309367,0.012332337451196513
lexical_bias,abl_c0_l1_b0,16000,0.7882657858416896,0.00803570715712319,0.5450551940435621,0.0054539518433999795,0.9252361936061434,0.7886621315192744,0,6,20.6,0.5787779002217822,0.015924467272127325,0.1313767586724314,0.018390578507228656
lexical_bias,abl_c0_l0_b1,16000,0.7741076631934242,0.00976373222935018,0.5328153134979289,0.005391992884126843,0.9289208891581757,0.7743764172335602,0,6,21.12,0.5491844663698054,0.019597860309697405,0.10612152423616732,0.0071145749424249205
lexical_bias,abl_c1_l0_b0,16000,0.7717082439815628,0.004863386340390628,0.5312611285186326,0.005868844410129082,0.9469143135260119,0.7718820861678005,0,6,20.14,0.5458730783411627,0.008635076753250625,0.12401463307069205,0.0034619625322193414
lexical_bias,twitter,16000,0.7831240272679268,0.009841023684956762,0.5397188019000076,0.0067610204855746685,0.9269043134330928,0.7839002267573697,0,6,21.2,,,,
lexical_bias,abl_c0_l1_b1,16000,0.7899075428205685,0.006265728516865965,0.5348306786801323,0.005219693212779999,0.9252134096776391,0.7900226757369615,0,6,19.96,0.5810362881005425,0.012829577451343405,0.1288155304418375,0.014090763624963264
lexical_bias,abl_c1_l0_b1,16000,0.7672538699300406,0.014071904268144149,0.5157187597348453,0.005787010056409284,0.9502405462162439,0.7680272108843537,0,6,20.41,0.5423085579592705,0.02508902295695722,0.1251896798088223,0.014953949810670547
lexical_bias,abl_c0_l0_b0,16000,0.7882657858416896,0.00803570715712319,0.5450551940435621,0.0054539518433999795,0.9252361936061434,0.7886621315192744,0,6,20.51,0.5787779002217822,0.015924467272127325,0.1313767586724314,0.018390578507228656
lexical_bias,news,16000,0.8104033582496301,0.005760316040366929,0.5734262523306928,0.001608630375853856,0.8382036820002674,0.8104308390022675,0,6,20.98,,,,
lexical_bias,mixed,16000,0.8050476896427341,0.0031968233367953057,0.5680771739792284,0.00447821455919246,0.892651072009378,0.8052154195011338,0,6,20.740000000000002,0.6105073724798389,0.006693035328032387,0.16988391990316568,0.005505599307453133
lexical_bias,abl_c1_l1_b0,16000,0.7717082439815628,0.004863386340390628,0.5312611285186326,0.005868844410129082,0.9469143135260119,0.7718820861678005,0,6,20.12,0.5458730783411627,0.008635076753250625,0.12401463307069205,0.0034619625322193414
lexical_bias,mixed,64000,0.8127376906297087,0.007163268043045419,0.5736707062605583,0.005214738415989734,0.897329149298447,0.8129251700680272,0,6,81.86,0.6260235544937338,0.014052283512158275,0.17462570804145286,0.012191457956538206
lexical_bias,twitter,64000,0.8003462407396845,0.0037887497725798405,0.5469440704278671,0.0038128452680641464,0.931145390216093,0.8004535147392291,0,6,84.56,,,,
lexical_bias,news,64000,0.8008757124067691,0.01169231074447403,0.5751204330027906,0.003353859285194724,0.8469901758925337,0.800907029478458,0,6,85.55,,,,
lexical_bias,news,128000,0.8061109319600539,0.005690766151378263,0.5777107859270872,0.0042436316270404156,0.8541053882927813,0.8061224489795918,0,6,183.19,,,,
lexical_bias,mixed,128000,0.8171265074970108,0.007474165031583235,0.5751927420219921,0.003921810728364995,0.8993442944977142,0.8172335600907029,0,6,162.32,0.6344489507037577,0.014953084439725563,0.17913526457648418,0.007691257655960086
lexical_bias,twitter,128000,0.7857999700822317,0.011439830322305732,0.5450249273688784,0.004452217240238607,0.9335643013426131,0.7859410430839002,0,6,169.4,,,,
sentiment,news,1000,0.655457951085959,0.006430733065265836,0.6837497580572375,0.010200487406657662,0.8708342760656432,0.6652476349471341,0,6,1.55,,,,
sentiment,mixed,1000,0.6584978897492799,0.006179076790273756,0.635338516576221,0.022656338390891775,0.9426463688250605,0.6619643850862549,0,6,1.5,0.48335452350654934,0.006251296170217596,0.4991259085450643,0.018915215708150513
sentiment,twitter,1000,0.6196170744642925,0.019221140132936198,0.5682385065222585,0.032434453652916855,0.9940049128172669,0.6238174735670562,0,6,1.53,,,,
sentiment,mixed,4000,0.6814609208942097,0.003827545903189731,0.6873787353874685,0.009545272345171038,0.938639530157344,0.6859070673344463,0,6,5.3100000000000005,0.5111478923448954,0.004655787881127212,0.5535993947893847,0.005788177154432957
sentiment,news,4000,0.6721553122444174,0.008291839819434306,0.6996306419015692,0.012067903518426489,0.8806021277395505,0.6768642181413468,0,6,5.48,,,,
sentiment,twitter,4000,0.6530564462397181,0.008316310676497065,0.5766866746244986,0.02159898247021909,0.9949988573254857,0.6569699499165276,0,6,5.57,,,,
sentiment,news,16000,0.6904799635208616,0.004052323526782542,0.6987518779571334,0.00727659538898499,0.8905653665007778,0.695715080690039,0,6,21.43,,,,
sentiment,mixed,16000,0.687379211952012,0.003355504909274038,0.6850259060444513,0.010069470849934054,0.9388690635154773,0.6921814134668893,0,6,20.82,0.5212411550320682,0.0052142167464704755,0.5488542555581363,0.01125551507757999
sentiment,twitter,16000,0.6672177791625229,0.008458774881168635,0.6144327808312829,0.018729621845033604,0.9946937940480899,0.6706037840845854,0,6,21.36,,,,
sentiment,news,64000,0.6870362035065524,0.002375248038602281,0.6898081093523438,0.0037096910537575095,0.895683376631033,0.6900946021146356,0,6,84.83,,,,
sentiment,mixed,64000,0.6924021417426394,0.005062119767004949,0.6826994822216829,0.005965974578571674,0.9438211431999859,0.6949638286032277,0,6,85.88,0.5290840032701909,0.005519877159777051,0.5502507900834129,0.00654620733151064
sentiment,twitter,64000,0.6809513599724387,0.010094535923239265,0.6657644692245649,0.010691838272851964,0.994684440301065,0.6847662771285475,0,6,84.69,,,,
sentiment,mixed,128000,0.6943911662868679,0.0010122984329704533,0.6868270452811647,0.004417303387691652,0.9453109541405764,0.6969254312743461,0,6,165.67,0.5309981626615183,0.0021788905327151833,0.5498424434662886,0.00490354835224662
sentiment,twitter,128000,0.6782118962459135,0.00795133660094378,0.6334810688513363,0.01573149572202542,0.9947165797448001,0.6802309404563162,0,6,167.34,,,,
sentiment,news,128000,0.6924873395151302,0.0016879170371065055,0.6944430946038166,0.002354063773652793,0.9010070187792762,0.6947273233166388,0,6,168.77,,,,
sexism,twitter,1000,0.6551695180920074,0.012334831584552735,0.6086222457421657,0.03620369281728643,0.8211567835877188,0.8322943405451656,0,6,1.54,,,,
sexism,twitter,4000,0.7206942634542255,0.02078680333800381,0.6174192881640922,0.015585520793531281,0.8443629582532735,0.8425009167583425,0,6,5.51,,,,
sexism,twitter,16000,0.7419464184216005,0.004254187379647984,0.6224270714924888,0.01167579556438409,0.857624287654449,0.8549688302163551,0,6,21.21,,,,
sexism,twitter,64000,0.7692043225713029,0.004308261261836982,0.6412383082313653,0.014628434428768126,0.8663130673780426,0.8701259014790367,0,6,85.42999999999999,,,,
sexism,twitter,128000,0.7893930064718725,0.0067279273462873945,0.6409910804095572,0.0069399941615590115,0.8718615309111147,0.8825938149370492,0,6,170.06,,,,
